,recipe_id,recipeName,course,cuisine,ingredients
0,0,INDIAN BUTTER CHICKEN,[Main Dishes],[Indian],"[boneless chicken, garam masala, chili powder, salt, garlic cloves, ginger, olive oil, butter, onions, chili pepper, tumeric, coriander powder, cumin seed, tomatoes, water, ketchup, honey, milk, pepper, cilantro]"
1,1,Mutton Chops Curry Recipe-How to make mutton chops curry,[Main Dishes],[Indian],"[lamb chops, yoghurt, garlic paste, oil, seeds, cumin seed, green chilies, red chili peppers, onions, cardamom, clove, cinnamon, cilantro leaves, mint leaves, salt]"
2,2,Spicy mixture ~ South Indian Trail mix | Diwali,[],[Indian],"[chickpea flour, rice flour, red chili powder, salt, oil, poha, bengal gram, peanuts, curry leaves, asafetida]"
3,3,Creamy Chicken Tikka Masala,[Main Dishes],[Indian],"[garlic cloves, fresh ginger, canola oil, boneless chicken skinless thigh, plain yogurt, salt, pepper, unsalted butter, olive oil, serrano peppers, yellow onion, tomato paste, garam masala, paprika, cayenne pepper, water, roma tomatoes, heavy cream, cilantro, honey, rice]"
4,4,Tandoori Turkey Breast,[Main Dishes],[Indian],"[plain yogurt, lime, garam masala, cumin, coriander seeds, garlic powder, ground ginger, ground cinnamon, salt, tumeric, cayenne pepper, ground black pepper, fennel seeds, ground cloves, ground cardamom, turkey breast]"
5,5,Keema Paratha Recipe-Stuffed keema paratha,[],[Indian],"[whole wheat flour, ghee, salt, mutton, onions, cumin seed, green chilies, garlic paste, red chili powder, chat masala, cilantro leaves, oil, wheat flour]"
6,6,Slow-Cooker Coconut Chicken Tikka Masala,[Main Dishes],[Indian],"[bone in chicken thighs, ground coriander, paprika, salt, ground red pepper, canola oil, coconut milk, onions, garlic, gingerroot, ground cumin, garam masala, ground turmeric, diced tomatoes, whipping cream, chopped cilantro fresh, basmati rice, lime wedges]"
7,7,"Dahi Chicken Curry, Doi Murgh",[Main Dishes],[Indian],"[chicken, onions, garlic, ginger, red chili peppers, peppercorns, bay leaves, green cardamom pods, clove, cinnamon sticks, red chili powder, salt, kasuri methi, yoghurt, buttermilk, garam masala, oil]"
8,8,Homemade Tikka Masala,[Main Dishes],[Indian],"[boneless skinless chicken breasts, plain yogurt, garlic, fresh ginger, lemon juice, garam masala, salt, pepper, unsalted butter, jalapeno chilies, minced ginger, tomato paste, paprika, diced tomatoes, water, heavy cream, steamed rice, chopped cilantro]"
9,9,Butter Chicken,[Main Dishes],[Indian],"[onions, butter, vegetable oil, chicken breasts, chillies, ginger, garlic, cooking cream, low-fat yogurt, brown sugar, tomato paste, canned tomatoes, rice, water, cardamom, garam masala, clove, cinnamon, coriander, tumeric]"
10,10,Indian Style Sheekh Kabab,[Main Dishes],[Barbecue],"[ground lamb, onions, fresh mint, cilantro, ginger paste, chili paste, ground cumin, ground coriander, paprika, cayenne pepper, salt, vegetable oil]"
11,11,Grilled Tandoori Chicken,[Main Dishes],[Indian],"[plain yogurt, lemon juice, onions, garlic, ginger, garam masala, paprika, cumin, coriander, pepper, salt, chicken]"
12,12,Boneless Tandoori Chicken recipe in oven-how to make tandoori chicken,[Main Dishes],[Indian],"[boneless chicken, yoghurt, garlic paste, red chili powder, garam masala, ground turmeric, coriander powder, chaat masala, gram flour, lemon juice, black salt, olive oil]"
13,13,Malpua -Sweet Indian Pancakes,[Breakfast and Brunch],[Indian],"[whole wheat flour, sugar, milk, curds, fennel seeds, poppy seeds, salt, ground cardamom, almonds, ghee]"
14,14,Butter Chicken for the Slow Cooker,[Main Dishes],[Indian],"[butter, vegetable oil, boneless chicken skinless thigh, onions, garlic, curry powder, curry paste, tandoori spices, garam masala, tomato paste, green cardamom pods, coconut milk, yoghurt, salt]"
15,15,Easy Indian Curry,[],[Indian],"[green pepper, small red potato, ginger, yellow onion, jalapeno chilies, mustard seeds, cumin seed, dried chile, salt, red chile powder]"
16,16,Indian Style Baked Tofu,,[Indian],"[extra firm tofu, oil, curry powder, red chili powder, ground turmeric, salt, lemon juice, red food coloring]"
17,17,Indian Naan,[],[Indian],"[flour, low-fat plain yogurt, salt, baking powder]"
18,18,Hyderabadi Chicken Biryani,[Main Dishes],[Indian],"[chicken, garlic, ginger, salt, lemon, yoghurt, tumeric, red chile powder, garam masala, coriander, mint, green chilies, onions, ghee, rice, almonds, bay leaf, clove, cardamom, cumin seed, cinnamon, saffron, water]"
19,19,Indian Appetizer Cabbage Pakora,[Appetizers],[Indian],"[onions, cabbage, salt, tumeric, cumin seed, ground cumin, coriander powder, red chili powder, baking soda, rice flour, besan (flour), oil]"
20,20,Kokub’s Mango Chutney from Pakistan,[],[Asian],"[mango, fresh ginger root, garlic, white sugar, salt, red pepper flakes, cumin seed, black peppercorns, white vinegar, clove, cinnamon sticks, cardamom seeds, cardamom pods]"
21,21,Aromatic Blackeye Bean Curry,[Main Dishes],[Indian],"[black-eyed peas, cumin seed, coriander seeds, fennel seeds, fenugreek seeds, cinnamon, chili flakes, oil, black mustard seeds, fresh curry leaves, onions, garlic, fresh ginger, salt, water, cilantro leaves, coconut]"
22,22,Biryani-Inspired Autumn Vegetable Rice,[Side Dishes],[Indian],"[olive oil, basmati rice, raw cashews, golden raisins, cinnamon, cardamom pods, clove, ground turmeric, water, chopped onion, garam masala, salt, garlic, red chili peppers, cauliflower florets, butternut squash, fresh lime, cilantro leaves, purple onion]"
23,23,Indian Spiced Cauliflower & Potatoes,[Side Dishes],[Indian],"[potatoes, cauliflower, fresh ginger, red pepper flakes, garlic, ground coriander, ground cumin, ground turmeric, salt, vegetable oil, water, fresh cilantro]"
24,24,Butter Chicken/ Murgh Makhani,[],[Indian],"[unsalted butter, green cardamom pods, cinnamon sticks, clove, onions, ginger, green chilies, chili powder, garam masala, tomato purée, double cream, honey, kasuri methi, salt, coriander]"
25,25,Murgh Makhani Indian Butter Chicken,[Main Dishes],[Indian],"[chicken breasts, onions, minced garlic, cashew butter, garlic powder, minced ginger, cumin, clove, cardamom, tumeric, lemon juice, masala, paprika, bay leaves, diced tomatoes, cream, plain yogurt, salt, pepper]"
26,26,Easy Baked Indian Samosas,,[Indian],"[potatoes, oil, onions, coriander seeds, curry powder, fresh ginger, salt, ground turmeric, ground cumin, ground allspice, cayenne pepper, ground cinnamon, plum tomatoes, frozen peas, prepared pie crusts, egg whites]"
27,27,Masala Chai (Indian Spiced Tea),[Beverages],[Indian],"[clove, water, cardamom pods, cinnamon sticks, milk, sugar, black tea leaves]"
28,28,Pakistani Chicken Biryani,[Main Dishes],[Indian],"[chicken, basmati rice, oil, potatoes, green chilies, cardamom, clove, cinnamon, shahi jeera, onions, garlic paste, tomatoes, yoghurt, crushed red pepper flakes, salt, mint leaves, cilantro leaves, orange food coloring]"
29,29,Erissery,[],[Indian],"[butternut squash, cowpeas, paprika, cayenne, ground turmeric, salt, coconut, cumin seed, coconut oil, curry leaves, mustard, red chili peppers]"
30,30,Tandoori Chicken Tikka,[Main Dishes],[Indian],"[boneless chicken skinless thigh, yoghurt, chickpea flour, garlic, ginger, green chilies, paprika, chili powder, garam masala, coriander powder, ground cinnamon, saffron, salt, butter, chaat masala, lemon, salad, chutney]"
31,31,Indian Cumin Potatoes,[Side Dishes],[Indian],"[waxy potatoes, salt, water, oil, cumin seed, tumeric, fresh coriander]"
32,32,Skinny Chicken Tikka Masala,[Main Dishes],[Indian],"[canola oil, onions, fresh ginger, garlic, crushed tomatoes, fat free yogurt, 1% low-fat milk, cumin, garam masala, tumeric, chili powder, salt, boneless chicken breast, fresh cilantro]"
33,33,Spiced Beef Flatbread (Khima Chapati),[Main Dishes],[Indian],"[plain flour, eggs, yoghurt, salt, ghee, minced beef, purple onion, ginger, garlic, chili flakes, dried mint flakes, cumin seed, garam masala, red chili peppers, coriander, pepper]"
34,34,Clean Eating Indian Fried Rice,[],[Indian],"[ground turkey breast, long grain brown rice, curry, oregano, red bell pepper, pepper]"
35,35,Naan (Indian Leavened Flatbread),[Breads],[Indian],"[water, honey, active dry yeast, all-purpose flour, greek yogurt, canola oil, kosher salt, cilantro, ghee]"
36,36,Samosa Or How To Make Samosa,[],"[Indian, Asian]","[plain flour, ghee, seeds, salt, potatoes, green peas, oil, cumin seed, asafoetida, chilli paste, garam masala, amchur, coriander, chutney]"
37,37,Easy Mango Lassi,[Beverages],[Indian],"[low-fat plain yogurt, mango, raw sugar, hot water, salt, ice cubes]"
38,38,Kerala Style Chicken Curry Recipe-Kerala chicken curry with coconut,[Main Dishes],"[Indian, Asian]","[chicken, coconut oil, onions, garlic cloves, ginger, green chilies, coriander, red chili powder, ground turmeric, garam masala, coconut milk, fennel seeds, salt, curry leaves, cilantro leaves]"
39,39,Mango Lassi,[Beverages],"[Asian, Indian]","[mango, greek yogurt, fat free milk, sugar, ice]"
40,40,Red Lentils / Masoor Dal,[Main Dishes],[Indian],"[olive oil, cumin seed, black mustard seeds, onions, garlic, fresh ginger, ground cumin, ground coriander, ground turmeric, paprika, ground red pepper, red lentils, water, crushed tomatoes, salt, black pepper, lemon juice]"
41,41,Dal Baingan Bharta (Indian Eggplant and Lentil Curry),[Main Dishes],[Indian],"[red lentils, water, olive oil, garlic, ginger, fenugreek, tumeric, cumin, coriander, salt, lemon juice, eggplant, butter, cumin seed, onions, fire roasted diced tomatoes, red chili peppers]"
42,42,Cucumber & Mint Raita,,[Indian],"[greek yogurt, cucumber, chopped fresh mint, ground cumin, cracked black pepper, sea salt, cayenne]"
43,43,Bangladeshi Beef Samosas,[Main Dishes],[Indian],"[large potatoes, frozen peas, vegetable oil, cumin seed, bay leaf, onions, ground beef, garlic, fresh ginger root, ground black pepper, salt, ground cumin, ground coriander, ground turmeric, chili powder, ground cinnamon, ground cardamom, chopped cilantro fresh, green chilies, oil, phyllo dough]"
44,44,Goan Meatball Curry Recipe - Indian Beef Kofta {Easy and Quick},[Main Dishes],[Indian],"[minced beef, salt, pepper, worcestershire sauce, ground turmeric, garlic paste, white wine vinegar, bread crumbs, eggs, onions, tomatoes, green chilies, olive oil, fresh curry, mustard seeds, red chili powder, coriander seeds, ground cumin, tomato paste, coconut milk, fresh coriander]"
45,45,Paneer tikka masala recipe | Restaurant style paneer tikka masala,[Main Dishes],[Indian],"[paneer, green pepper, red pepper, onions, curds, ginger paste, garlic paste, red chili powder, garam masala, chaat masala, kasuri methi, coriander powder, ground turmeric, salt, lemon juice, oil, cumin seed, tomatoes, ground cumin, water, heavy whipping cream]"
46,46,Indian Butter Chicken,[Main Dishes],[Indian],"[skinless chicken breasts, tomato paste, heavy cream, garlic, ginger, garam masala, tumeric, fenugreek, salt, cayenne pepper, chili powder]"
47,47,Chicken Biriyani,[Main Dishes],[Indian],"[ghee, clove, cinnamon sticks, cardamom pods, onions, yoghurt, cilantro leaves, fresh mint, ginger, large garlic cloves, tumeric, ground cumin, ground coriander, chili powder, kosher salt, green chilies, diced tomatoes, oil, chickpeas, meat, basmati rice, chicken stock, raisins, cashew nuts, fresh cilantro, sauce, flaked coconut, cilantro, salt, dal, mustard seeds, cumin seed, chili flakes, asafoetida powder, curry leaves]"
48,48,Indian Chai Oatmeal,[Breakfast and Brunch],[Indian],"[tumeric, oatmeal, ground coriander, salt, ground cinnamon, ground cardamom, nutmeg, ground allspice, milk, honey]"
50,49,Aloo Paratha Recipe | How to make Punjabi Aloo ka Paratha,[],[Indian],"[potatoes, green chilies, ginger, cilantro leaves, salt, garam masala, amchur, red chili powder, ground cumin, atta, oil, water, butter, chutney, yoghurt]"
51,50,BREAD MASALA CHAAT,,[Indian],"[white bread, onions, ginger, garlic cloves, green chilies, potatoes, frozen peas, cumin seed, salt, vegetable oil, spices, masala, tomato ketchup, asafoetida, cilantro leaves, chili powder, lemon, ground turmeric, sugar]"
52,51,Tomato and Cauliflower Curry,[Main Dishes],[Indian],"[cumin seed, coriander seeds, fennel seeds, ghee, yellow onion, sea salt, garlic, ginger, green chilies, ground turmeric, ground cayenne pepper, medium potatoes, diced tomatoes, cauliflower, cilantro leaves, grated nutmeg]"
53,52,Aloo Palak (Indian Potatoes & Spinach),[],[Indian],"[garlic, spinach, onions, fresh ginger, waxy potatoes, green chilies, ghee, tumeric, garam masala, cumin seed, ground cumin, ground coriander, salt, cream]"
54,53,Lamb Curry - Meat Curry,[Main Dishes],[Indian],"[lamb shoulder, vegetables, onions, tomatoes, garlic paste, ginger paste, coriander powder, ground cumin, ground turmeric, chili powder, garam masala, salt, coriander]"
55,54,Masala Gosht - Indian Meat Curry,[Main Dishes],[Indian],"[mutton, coriander, green chilies, lemon juice, vegetables, onions, garlic paste, ginger paste, tomatoes, coriander powder, ground cumin, ground turmeric, chili powder, garam masala, salt]"
56,55,Indian Potato and Chickpea Soup,[Soups],[Indian],"[unsalted butter, mustard seeds, serrano chilies, garlic, onions, ground coriander, tumeric, kosher salt, tomatoes, chickpeas, yukon gold potatoes, water, lime juice, chopped cilantro fresh]"
57,56,Lahsooni Methi paneer,[],[Indian],"[oil, garlic, onions, ginger, yoghurt, all-purpose flour, coriander powder, chili powder, ground turmeric, garam masala, salt, cream, kasuri methi, paneer, lemon juice, honey, ghee]"
58,57,Garam Masala Eggplant Chips with Cilantro Mint Raita,[Appetizers],[Indian],"[japanese eggplants, salt, olive oil, garam masala, plain yogurt, chopped cilantro fresh, chopped fresh mint, ground cumin, pepper]"
59,58,Paneer Korma Recipe - Indian Cottage Cheese Curry - mughlai shahi paneer,[],[Indian],"[almonds, poppy seeds, onions, tomatoes, oil, ground turmeric, chili powder, ground cumin, coriander powder, ground cinnamon, ground cardamom, green cardamom, bay leaf, black pepper, salt, garlic paste, yoghurt, cream, water, paneer, fresh coriander]"
60,59,Adraki Murg,[Main Dishes],[Indian],"[mustard oil, clove, black peppercorns, cinnamon, bay leaf, onions, garlic, ginger, green chilies, chicken, yoghurt, all-purpose flour, chili powder, ground turmeric, garam masala, salt, lemon juice, cilantro leaves]"
61,60,Aloo Keema (Potato and Mince Curry),[Main Dishes],[Indian],"[onions, beef, gingerroot, garlic, chili powder, coriander powder, ground turmeric, salt, yoghurt, tomatoes, potatoes, garam masala, cilantro leaves, green chilies]"
62,61,Easy Butter Chicken Recipe - Murgh Makhani,[Main Dishes],[Indian],"[almonds, chicken, garlic paste, yoghurt, garam masala, chili powder, ground turmeric, chaat masala, masala, orange food coloring, salt, pepper, tomato paste, lime, butter, olive oil, onions, bay leaf, coriander, cream]"
63,62,Indian Raita,,[Indian],"[cucumber, medium tomatoes, fresh mint, cumin seed, scallions, yoghurt]"
64,63,Tarka Dal,,[Indian],"[chana dal, vegetable oil, cumin seed, onions, green chilies, fresh ginger, garlic cloves, tomatoes, ground turmeric, garam masala, ground coriander, ground black pepper, salt, cilantro leaves]"
65,64,Home,[],[Indian],"[black peppercorns, red chili peppers, clove, cinnamon, coriander seeds, cumin seed, vegetable oil, coconut, onions, yellow mustard seeds, ground turmeric, garam masala, mace, bay leaf, unsweetened coconut milk, baby potatoes, carrots, salt, cauliflower, florets, green beans, red bell pepper, asian eggplants, frozen corn, ear of corn, large tomato, tomato paste, okra, curry leaves, chopped cilantro]"
66,65,Indian Naan Bread,[Breads],[Indian],"[all-purpose flour, milk, yeast, seeds, salt, sugar, yoghurt, clarified butter]"
67,66,Slow Cooker Beef Curry,[Main Dishes],[Indian],"[sunflower oil, braising steak, onions, garlic cloves, chillies, fresh ginger root, ground cumin, ground coriander, ground turmeric, chopped tomatoes, garam masala, yoghurt, coriander]"
69,67,Eggplant Chana Masala,[Main Dishes],[Indian],"[coconut oil, yellow onion, garlic, fresh ginger, eggplant, sea salt, crushed tomatoes, water, chickpeas, lemon juice, fresh coriander, ground cumin, ground cayenne pepper, ground turmeric, ground paprika, garam masala]"
70,68,Indian Cucumber Raita,,[Indian],"[nonfat yogurt, cucumber, green chilies, green onions, chopped cilantro fresh, salt]"
72,69,Roomali Roti,[Breads],[Indian],"[bread flour, salt, vegetable oil, water]"
73,70,Masala Kaju In Air Fryer,,[Indian],"[cashew nuts, ghee, coriander powder, red chili powder, garam masala, black pepper, black salt, salt, amchur]"
74,71,Cilantro Chicken | Easy Chicken Curry,[Main Dishes],[Indian],"[chicken, oil, cumin seed, onions, tomatoes, ground turmeric, salt, chopped cilantro, green chilies, clove, ginger]"
75,72,Mango Curry Tofu,[Main Dishes],[Indian],"[firm tofu, safflower oil, cayenne, ground cinnamon, garam masala, salt, purple onion, ginger, garlic, water, cumin seed, bay leaves, clove, coconut milk, mango, apple cider vinegar, black pepper, chopped cilantro]"
76,73,Aloo Bonda Recipe South Indian Style,,[Indian],"[onions, green chilies, garlic paste, potatoes, green peas, bengal gram, seeds, garam masala, red chili powder, ground turmeric, milk, salt, oil]"
77,74,Tandoori Chicken,[Main Dishes],[Indian],"[plain greek yogurt, fresh lemon juice, minced garlic, ground turmeric, ground ginger, ground cumin, sweet paprika, kosher salt, black pepper, cayenne pepper, boneless chicken skinless thigh, olive oil spray, chopped cilantro fresh]"
78,75,Tandoori Rack of Lamb,[Main Dishes],[Indian],"[rack of lamb, brown sugar, sea salt, tumeric, curry powder, cumin, coriander, dry mustard, ground ginger, black pepper]"
79,76,Shahi Paneer,,[Indian],"[paneer, oil, onions, tomatoes, chili powder, coriander powder, salt, butter, cream, methi, garam masala, green cardamom]"
80,77,Indian-Spiced Mushrooms and Lentils,,[Indian],"[red lentils, water, garam masala, coconut oil, button mushrooms, diced tomatoes, purple onion, baby spinach]"
81,78,Sabut Masoor Ki Daal - Lentil Soup,[Soups],[Indian],"[lentils, oil, cumin seed, black mustard seeds, asafetida, garlic, ginger, green chilies, onions, tumeric, garam masala, coriander powder, cayenne, large tomato, salt, water, cilantro]"
82,79,Malai Kofta,[],[Indian],"[ghee, nuts, mashed potatoes, paneer, chili powder, coriander powder, garam masala, corn flour, salt, cilantro leaves, oil, onions, clove, ginger, tomatoes, bay leaf, cinnamon, cardamom, jeera, methi, cream]"
83,80,Tarka Dall,[],[Indian],"[dried split peas, chicken stock, water, vegetable oil, butter, ground cumin, onions, fresh ginger, garlic cloves, tomatoes, tumeric, garam masala, ground coriander, pepper, salt, chopped cilantro fresh]"
84,81,Indian Golden Basmati Rice,[Side Dishes],[Indian],"[water, brown basmati rice, tumeric, cumin seed, onions, clove, salt]"
85,82,Healthy Palak Paneer Kofta Curry,[Main Dishes],[Indian],"[paneer, chopped green chilies, fresh coriander, red chili powder, coriander powder, garam masala, instant oats, salt, olive oil, onions, green chilies, ginger, clove, cashew nuts, tomatoes, spinach, cinnamon, cardamom, bay leaf, water, ice cubes, ghee, asafoetida, cumin seed, dried red chile peppers]"
86,83,The Best Chicken Tikka Masala,[Main Dishes],"[Barbecue, Indian]","[chicken pieces, ground cumin, paprika, ground coriander, ground turmeric, cayenne pepper, garlic, fresh ginger, yoghurt, juice, kosher salt, butter, onions, whole peeled tomatoes, cilantro leaves, heavy cream]"
87,84,Lamb Rogan Josh,[Main Dishes],[Indian],"[boneless lamb, vegetable oil, black cardamom pods, green cardamom pods, clove, bay leaves, cinnamon sticks, onions, ginger paste, chili powder, ground coriander, tumeric, tomatoes, yoghurt, salt, garam masala, coriander]"
88,85,MUSHROOM BUTTER MASALA,,[Indian],"[mushrooms, garlic cloves, green chilies, ginger, onions, tomatoes, cashew nuts, red chile powder, garam masala, ground turmeric, milk, butter, vegetable oil, kasuri methi, salt, cilantro leaves]"
89,86,Mauritian Vegan Briyani with Okra and Soya Chunks (Textured Vegetable Protein),[Main Dishes],"[Indian, Asian]","[okra, onions, potatoes, carrots, soya chunks, fresh coriander, fresh mint, frozen peas, basmati rice, cinnamon sticks, cardamom pods, water, coconut milk, tamarind paste, cumin, soy sauce, garlic paste, garam masala, coriander seeds, green chilies, ground tumeric, oil, salt]"
90,87,Indian Cauliflower and Potato Soup (Aloo Gobi),[Soups],[Indian],"[mashed potatoes, cauliflower florets, chopped onion, chile pepper, fresh ginger, garlic, salt, ground cumin, ground turmeric, paprika, reduced sodium chicken broth, plain greek yogurt, fresh cilantro, jalapeno chilies]"
91,88,"Avarakkai Kuzhambu, Avarakkai Paruppu Curry, Broad Beans Curry",[Main Dishes],[Indian],"[broad beans, toor dal, tamarind, oil, mustard seeds, jaggery, curry leaves, cilantro leaves, sesame, black pepper, coriander seeds, cumin seed, tomatoes, green chilies, tumeric, salt, shredded coconut]"
92,89,Mint and Pomegranate Raita,[],[Indian],"[greek yogurt, pomegranate, salt, sugar, cumin seed, mint leaves, amchur]"
93,90,Mint Chutney Recipe | Pudina Pachadi,,[Indian],"[mint leaves, tamarind paste, dried red chile peppers, urad dal, chana dal, cumin seed, garlic, salt, mustard seeds, curry leaves, oil]"
94,91,Kerala Mutton/Lamb Roast,[Main Dishes],[Indian],"[lamb, onions, tomatoes, garlic cloves, ginger, curry leaves, leaves, chili powder, coriander powder, ground turmeric, garam masala, oil, peppercorns, cumin seed, cardamom pods]"
95,92,Channa Pulao-Chana Rice,,[Indian],"[masala, cooked rice, oil, jeera, cinnamon sticks, cardamom]"
96,93,Kadai Chicken,[Main Dishes],[Indian],"[chicken, lemon juice, onions, green chilies, bell pepper, tomatoes, ginger, garlic, oil, cumin seed, clove, cinnamon, ground cumin, ground turmeric, chili powder, coriander powder, garam masala, kasuri methi, salt, cilantro]"
97,94,Mutton Do Pyaza,[Main Dishes],[Indian],"[mutton, yoghurt, chili garlic paste, ginger paste, onions, mustard oil, salt, ground turmeric, papaya, oil, brown cardamom, green cardamom, cinnamon, clove, green chilies, sugar, freshly ground black pepper, fresh ginger, garlic, methi, coriander powder, tumeric, red chili powder, water, garam masala, kewra water]"
98,95,Tomato Peanut Chutney,[Condiments and Sauces],[Indian],"[roasted peanuts, tomatoes, green chilies, red chili peppers, cumin seed, urad dal, mustard seeds, clove, curry leaves, salt, oil]"
99,96,Indian Mini Garlic Naan,"[Breads, Appetizers]",[Indian],"[sugar, dry yeast, flour, warm water, ghee, salt, garlic cloves, plain yogurt, fresh coriander, chopped parsley]"
101,97,Indian Lentil Soup,[Soups],[Indian],"[extra-virgin olive oil, yellow onion, garlic, fresh ginger, curry powder, ground turmeric, ground chile, medium potatoes, carrots, yellow lentils, vegetable stock, sea salt, tomatoes]"
102,98,Paneer Kofta Curry,[Main Dishes],[Indian],"[paneer, potatoes, corn flour, ground turmeric, red chili powder, garam masala, ginger, salt, onions, almonds, cashew nuts, melon seeds, golden raisins, green cardamom, clove, green chilies, cinnamon, coriander powder, ground cumin, kasuri methi, fenugreek seeds, yoghurt, cream]"
103,99,Plain Indian Raita,,[Indian],"[cumin seed, yoghurt, black pepper, salt, cilantro leaves]"
104,100,Chana Masala,[Main Dishes],[Indian],"[vegetable oil, onions, garlic, fresh ginger, green chilies, ground coriander, ground cumin, ground cayenne pepper, ground turmeric, cumin seed, amchur, paprika, garam masala, tomatoes, water, chickpeas, salt, lemon juice]"
105,101,Pastor Ryan’s Chicken Tikka Masala,[Main Dishes],[Indian],"[chicken breasts, kosher salt, ground coriander, cumin, plain yogurt, butter, onions, garlic, fresh ginger, garam masala, diced tomatoes, sugar, heavy cream, basmati rice, fresh cilantro, chili pepper, tumeric, frozen peas]"
106,102,Indian Beef Curry,[Main Dishes],[Indian],"[coriander seeds, cumin seed, fennel seeds, cayenne pepper, smoked paprika, black peppercorns, beef, garlic cloves, ginger, yellow onion, olive oil, cinnamon sticks, black cardamom pods, fenugreek seeds, fresh curry leaves, stock, coconut cream, lemon, fresh coriander]"
107,103,Chana Masala Waffles with Samosa Potatoes and Cilantro Mint Chutney,[],[Indian],"[chickpea flour, yeast, baking powder, coconut sugar, mixed spice, cumin seed, ground cumin, smoked paprika, ground coriander, tumeric, black salt, baking soda, pepper, garlic, ginger, tomato paste, milk, eggs, canola oil, olive oil, potatoes, purple onion, red bell pepper, green peas, carrots, vegetable broth, mustard seeds, curry powder, cumin, ground ginger, paprika, ground cardamom, cayenne pepper, salt]"
108,104,Hyderabadi Dum ka Murgh,[Main Dishes],[Indian],"[chicken, ginger, garlic, onions, yoghurt, tomatoes, green chile, coriander, mint, almonds, cashew nuts, seeds, cardamom, clove, cinnamon, peppercorns, coriander powder, ground cumin, tumeric, red chile powder, saffron, salt, ghee, whole wheat flour]"
109,105,Indian Kadai Chicken,[Main Dishes],"[Indian, Asian]","[oil, chicken, tomatoes, onions, ginger paste, cilantro leaves, garam masala, garlic paste, red chili peppers, bay leaves, red chili powder, coriander seeds, salt]"
110,106,Chickpea flour Snack Cakes - Khaman Dhokla,,[Indian],"[chickpea flour, salt, baking soda, baking powder, tumeric, ginger, green chilies, non dairy yogurt, lemon juice, water, oil, sesame seeds, canola oil, mustard seeds, asafetida, curry leaves, sugar, coconut flakes, cilantro]"
111,107,Indian Kheer,[],[Indian],"[sweetened condensed milk, basmati rice, ground cardamom, milk, pistachios]"
112,108,Punjabi Kardhi Pakora,[Main Dishes],[Indian],"[yoghurt, water, chili powder, ground turmeric, garam masala, salt, gram flour, onions, oil, ginger paste, garlic paste, fenugreek seeds, green chilies, dried red chile peppers, cumin seed, curry leaves]"
